0.889	0.444	0.667	0.556	0.556	1
0.836	0.361	0.361	0.344	0.328	1
0.923	0.423	0.577	0.577	0.538	1
0.833	0.417	0.5	0.458	0.417	1
1.0	0.563	0.75	0.563	0.438	1
1.0	0.4	0.533	0.4	0.267	1
0.882	0.235	0.353	0.412	0.529	1
0.862	0.241	0.345	0.414	0.552	1
1.0	0.727	0.727	0.818	0.636	1
1.0	0.455	0.545	0.909	0.818	1
1.0	0.6	0.6	0.6	0.6	1
0.857	0.286	0.429	0.333	0.429	1
0.897	0.31	0.621	0.483	0.414	1
1.0	0.5	0.5	0.25	0.5	1
0.765	0.412	0.471	0.412	0.235	1
0.944	0.5	0.5	0.556	0.352	1
0.903	0.419	0.435	0.468	0.355	1
0.929	0.625	0.571	0.661	0.446	1
0.963	0.37	0.333	0.37	0.481	1
0.851	0.356	0.376	0.347	0.376	1
0.915	0.426	0.489	0.489	0.447	1
0.829	0.341	0.39	0.317	0.341	1
1.0	0.52	0.4	0.6	0.44	1
1.0	0.571	0.571	0.571	0.571	1
0.955	0.591	0.636	0.5	0.455	1
0.933	0.267	0.333	0.533	0.533	1
0.861	0.467	0.54	0.533	0.394	1
1.0	0.571	0.5	0.357	0.429	1
0.935	0.742	0.645	0.645	0.419	1
0.965	0.439	0.544	0.649	0.474	1
0.857	0.571	0.571	0.667	0.429	1
1.0	0.667	0.556	0.889	0.667	1
0.929	0.643	0.643	0.619	0.571	1
0.794	0.412	0.412	0.529	0.353	1
1.0	0.5	0.75	0.5	0.5	1
0.891	0.5	0.5	0.435	0.37	1
0.872	0.538	0.538	0.41	0.333	1
0.947	0.526	0.632	0.737	0.474	1
1.0	1.0	1.0	1.0	1.0	1
0.957	0.532	0.532	0.574	0.489	1
1.0	0.278	0.389	0.389	0.333	1
0.778	0.778	0.778	0.667	0.444	1
1.0	0.727	0.727	0.636	0.636	1
0.953	0.605	0.605	0.558	0.465	1
0.857	0.476	0.508	0.492	0.381	1
1.0	0.571	0.429	0.643	0.357	1
0.917	0.5	0.667	0.5	0.417	1
1.0	0.286	0.286	0.143	0.143	1
1.0	0.714	0.571	0.714	0.571	1
0.957	0.522	0.522	0.304	0.391	1
0.92	0.68	0.68	0.52	0.44	1
1.0	0.765	0.529	0.588	0.412	1
0.846	0.615	0.615	0.692	0.615	1
0.878	0.388	0.265	0.327	0.245	1
0.938	0.5	0.625	0.438	0.375	1
0.867	0.667	0.533	0.667	0.533	1
1.0	0.8	0.8	0.8	0.6	1
0.833	0.583	0.667	0.583	0.583	1
1.0	0.583	0.5	0.5	0.333	1
1.0	0.5	0.667	0.667	0.833	1
1.0	0.2	0.6	0.6	0.9	1
0.783	0.348	0.478	0.391	0.37	1
1.0	0.125	0.313	0.375	0.375	1
0.8	0.56	0.56	0.6	0.4	1
0.808	0.462	0.654	0.654	0.346	1
1.0	0.769	0.846	0.615	0.462	1
0.933	0.4	0.467	0.267	0.467	1
0.929	0.643	0.75	0.607	0.286	1
1.0	0.4	0.4	0.4	0.2	1
0.919	0.452	0.548	0.468	0.387	1
1.0	0.733	0.733	0.533	0.467	1
0.769	0.538	0.462	0.538	0.462	1
1.0	0.882	0.941	0.706	0.353	1
0.917	0.667	0.417	0.5	0.417	1
0.971	0.471	0.588	0.588	0.412	1
1.0	0.692	0.692	0.692	0.462	1
0.909	0.636	0.545	0.455	0.182	1
0.846	0.615	0.538	0.615	0.308	1
1.0	0.375	0.5	0.5	0.438	1
0.95	0.8	0.75	0.7	0.45	1
1.0	0.52	0.44	0.44	0.4	1
0.9	0.6	0.4	0.4	0.4	1
1.0	0.667	0.5	0.333	0.5	1
0.95	0.55	0.55	0.55	0.45	1
1.0	1.0	1.0	1.0	0.5	1
0.333	0.333	0.333	0.0	0.0	1
1.0	0.5	0.643	0.643	0.643	1
0.824	0.412	0.471	0.529	0.471	1
0.857	0.393	0.643	0.607	0.393	1
0.889	0.667	0.444	0.444	0.667	1
0.955	0.5	0.545	0.636	0.5	1
0.85	0.4	0.35	0.35	0.45	1
0.923	0.359	0.487	0.462	0.256	1
0.96	0.5	0.52	0.54	0.48	1
0.886	0.286	0.514	0.4	0.343	1
0.871	0.457	0.543	0.414	0.357	1
0.765	0.353	0.471	0.529	0.529	1
1.0	0.536	0.607	0.607	0.321	1
0.788	0.455	0.424	0.424	0.424	1
0.913	0.565	0.522	0.609	0.478	1
0.905	0.524	0.714	0.667	0.381	1
0.885	0.654	0.654	0.538	0.385	1
1.0	0.6	0.8	0.8	0.8	1
